row_type,parse_error,command,returncode,forms_off_iv,forms_on_iv,best_case,worst_case,total_pairs,wins,losses,neutral,median_comp_hits_delta,median_full_audit_delta,median_iv_delta_pct,median_iv_pcpv_delta,seed,n_vars,cycles,mode,forms,cost_weight_mode,iv,iv_per_cycle,full_audits,skip_rate,comp_stored,comp_hits_life,comp_misses_life,amortization,forms_active,forms_total,form_instances,form_collapse_events,auth_num,auth_den,env_cert_num,env_cert_den,drift_fp,novelty_fp,defer_total,watch_vars,avg_lambda,watch_queued,form_sibling_watches,cooldown_blocks,gated_pairs,elapsed_ms,ms_per_cycle,form_hyp_shortcuts,cov_n,cov_first,cov_p50,cov_last,iv_delta,iv_delta_pct,iv_pcpv_off,iv_pcpv_on,iv_pcpv_delta,full_audit_delta,drift_fp_delta,novelty_fp_delta,comp_hits_delta,comp_hits_delta_pct,amortization_delta,watch_queued_delta,avg_lambda_delta,ms_pcyc_off,ms_pcyc_on,time_delta_pct,cov_p50_delta,defer_delta,verdict
raw,,python dreth_causal_v28.py --seed 2 --n-vars 15 --cycles 12000 --mode v29 --disable-forms,0,,,,,,,,,,,,,2,15,12000,v29,0,uniform,302635,25.219583333333333,2864,98.4,7,64180,2962,1485.65,0,0,0,0,9,15,9,15,296,170,14,9,0.023,25,0,0,0,30569.4,2.547,0,3,25,199,200,,,,,,,,,,,,,,,,,,,
raw,,python dreth_causal_v28.py --seed 2 --n-vars 15 --cycles 12000 --mode v29,0,,,,,,,,,,,,,2,15,12000,v29,1,uniform,88590,7.3825,82,93.2,27,76589,16067,1772.89,2,3,9,27,9,15,9,15,137,77,11785,9,0.037,21,196,24,14,21580.8,1.798,15900,6,23,129,129,,,,,,,,,,,,,,,,,,,
raw,,python dreth_causal_v28.py --seed 2 --n-vars 50 --cycles 12000 --mode v29 --disable-forms,0,,,,,,,,,,,,,2,50,12000,v29,0,uniform,196125,16.34375,2135,99.6,29,332835,4578,2311.35,0,0,0,0,30,50,30,50,444,425,19,30,0.102,559,0,0,0,140233.2,11.686,0,14,29,161,289,,,,,,,,,,,,,,,,,,,
raw,,python dreth_causal_v28.py --seed 2 --n-vars 50 --cycles 12000 --mode v29,0,,,,,,,,,,,,,2,50,12000,v29,1,uniform,88600,7.383333333333334,190,99.4,61,338984,14339,2354.06,3,18,30,321,30,50,30,50,174,113,3448,37,0.01,1108,1040,471,199,43687.4,3.641,8103,30,19,125,593,,,,,,,,,,,,,,,,,,,
raw,,python dreth_causal_v28.py --seed 41 --n-vars 15 --cycles 12000 --mode v29 --disable-forms,0,,,,,,,,,,,,,41,15,12000,v29,0,uniform,266740,22.22833333333333,3123,98.3,9,46087,2167,1371.64,0,0,0,0,7,15,7,15,369,305,14,7,0.016,198,0,0,0,22876.5,1.906,0,4,32,424,1064,,,,,,,,,,,,,,,,,,,
raw,,python dreth_causal_v28.py --seed 41 --n-vars 15 --cycles 12000 --mode v29,0,,,,,,,,,,,,,41,15,12000,v29,1,uniform,21585,1.79875,285,99.8,37,80981,846,2410.15,2,2,7,9,7,15,7,15,75,46,28,7,0.022,65,45,2,8,4184.7,0.349,431,5,18,417,417,,,,,,,,,,,,,,,,,,,
raw,,python dreth_causal_v28.py --seed 41 --n-vars 50 --cycles 12000 --mode v29 --disable-forms,0,,,,,,,,,,,,,41,50,12000,v29,0,uniform,836405,69.70041666666667,8627,98.6,59,85173,19210,1043.79,0,0,0,0,17,50,17,50,2752,2557,0,17,0.04,1599,0,0,0,217645.6,18.137,0,12,79,958,2167,,,,,,,,,,,,,,,,,,,
raw,,python dreth_causal_v28.py --seed 41 --n-vars 50 --cycles 12000 --mode v29,0,,,,,,,,,,,,,41,50,12000,v29,1,uniform,85685,7.140416666666667,486,98.6,122,213509,6736,1112.03,3,15,20,245,20,50,20,50,407,317,7836,41,0.016,5807,136,1011,107,93433.3,7.786,12576,20,34,64,6193,,,,,,,,,,,,,,,,,,,
pair,,,,302635,88590,,,,,,,,,,,2,15,12000,v29,paired,uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-214045,-70.7271135195863,1.6813,0.4922,-1.1891,-2782,-159,-93,12409,19.3,287.24,-4,0.014,2.55,1.8,-29.4,-70,11771,help
pair,,,,196125,88600,,,,,,,,,,,2,50,12000,v29,paired,uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-107525,-54.82472912683238,0.3269,0.1477,-0.1792,-1945,-270,-312,6149,1.8,42.710000000000036,549,-0.092,11.69,3.64,-68.8,-36,3429,help
pair,,,,266740,21585,,,,,,,,,,,41,15,12000,v29,paired,uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-245155,-91.90785034115618,1.4819,0.1199,-1.362,-2838,-294,-259,34894,75.7,1038.51,-133,0.006,1.91,0.35,-81.7,-7,14,help
pair,,,,836405,85685,,,,,,,,,,,41,50,12000,v29,paired,uniform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-750720,-89.7555610021461,1.394,0.1428,-1.2512,-8141,-2345,-2240,128336,150.7,68.24000000000001,4208,-0.024,18.14,7.79,-57.1,-894,7836,help
summary,,,,,,seed=41 n_vars=50 cycles=12000 hit_Δ=+128336 aud_Δ=-8141,seed=2 n_vars=50 cycles=12000 hit_Δ=+6149 aud_Δ=-1945,4,4,0,0,23651.5,-2810.0,-80.2413372608662,-1.22015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
