schedule	n_vars	cycles	policy	runs	avg_quality_cost	avg_iv	avg_full_audits	avg_revocations	avg_unique_fails	avg_regime_fail	avg_no_sentinel	avg_skip_pct	avg_elapsed	invariants_ok	delta_quality_cost_vs_sensitivity	delta_iv_vs_sensitivity	delta_audits_vs_sensitivity	delta_revocations_vs_sensitivity	delta_unique_fails_vs_sensitivity	pareto_status	shadow_predicted_policy	shadow_actual_best_policy	shadow_policy_correct	shadow_false_switch_to_history_rescue_under_regime_switch	shadow_missed_history_rescue_under_false_trass	shadow_history_history_wins_missed
false_trass	50	5000	history/history	3	64484.0	41347.333333333336	23.0	0.0	0.0	0.0	0.0	99.99012029267482	8.600370334997328	True	-43258.66666666667	-43061.99999999999	-0.33333333333333215	0.0	0.0	efficient	history_rescue/history_rescue	history_rescue/history_rescue	True	False	False	False
false_trass	50	5000	history_rescue/history_rescue	3	55062.333333333336	26277.333333333332	24.666666666666668	0.6666666666666666	0.3333333333333333	0.0	0.0	99.98937068446737	8.899961333998363	True	-52680.333333333336	-58132.0	1.3333333333333357	0.6666666666666666	0.3333333333333333	efficient	history_rescue/history_rescue	history_rescue/history_rescue	True	False	False	False
false_trass	50	5000	sensitivity/none	3	107742.66666666667	84409.33333333333	23.333333333333332	0.0	0.0	0.0	0.0	99.99034994601861	9.137132013335455	True	0.0	0.0	0.0	0.0	0.0	dominated	sensitivity/none	history_rescue/history_rescue	False	False	True	False
false_trass	50	7500	history/history	3	119783.0	96646.33333333333	23.0	0.0	0.0	0.0	0.0	99.99350492991061	13.822864033000466	True	-76696.66666666666	-76500.00000000001	-0.33333333333333215	0.0	0.0	efficient	history_rescue/history_rescue	history_rescue/history_rescue	True	False	False	False
false_trass	50	7500	history_rescue/history_rescue	3	72881.33333333333	44096.333333333336	24.666666666666668	0.6666666666666666	0.3333333333333333	0.0	0.0	99.99302119323494	9.230301954667084	True	-123598.33333333333	-129050.0	1.3333333333333357	0.6666666666666666	0.3333333333333333	efficient	history_rescue/history_rescue	history_rescue/history_rescue	True	False	False	False
false_trass	50	7500	sensitivity/none	3	196479.66666666666	173146.33333333334	23.333333333333332	0.0	0.0	0.0	0.0	99.99357777044078	13.609587323332866	True	0.0	0.0	0.0	0.0	0.0	dominated	sensitivity/none	history_rescue/history_rescue	False	False	True	False
false_trass	50	10000	history/history	3	202586.33333333334	176444.66666666666	24.666666666666668	0.0	0.6666666666666666	0.0	0.0	99.99480594024556	18.60220101266653	True	-111420.99999999997	-114229.33333333334	1.3333333333333357	0.0	0.6666666666666666	efficient	history_rescue/history_rescue	history_rescue/history_rescue	True	False	False	False
false_trass	50	10000	history_rescue/history_rescue	3	90721.0	61936.0	24.666666666666668	0.6666666666666666	0.3333333333333333	0.0	0.0	99.99479034056758	10.263919342663334	True	-223286.3333333333	-228738.0	1.3333333333333357	0.6666666666666666	0.3333333333333333	efficient	history_rescue/history_rescue	history_rescue/history_rescue	True	False	False	False
false_trass	50	10000	sensitivity/none	3	314007.3333333333	290674.0	23.333333333333332	0.0	0.0	0.0	0.0	99.99518747911975	18.55205702033466	True	0.0	0.0	0.0	0.0	0.0	efficient	sensitivity/none	history_rescue/history_rescue	False	False	True	False
false_trass	75	5000	history/history	3	105259.33333333333	55801.0	39.333333333333336	1.3333333333333333	1.6666666666666667	0.0	0.0	99.98912698649883	14.300920443667565	True	-26207.000000000015	-25332.0	-1.6666666666666643	0.0	0.3333333333333335	efficient	history_rescue/history_rescue	history/history	False	False	False	True
false_trass	75	5000	history_rescue/history_rescue	3	109272.66666666667	42864.333333333336	48.333333333333336	2.0	4.0	0.0	0.0	99.98666534829344	9.113565902334813	True	-22193.66666666667	-38268.666666666664	7.333333333333336	0.6666666666666667	2.666666666666667	efficient	history_rescue/history_rescue	history/history	False	False	False	True
false_trass	75	5000	sensitivity/none	3	131466.33333333334	81133.0	41.0	1.3333333333333333	1.3333333333333333	0.0	0.0	99.98872121463354	9.118570445001145	True	0.0	0.0	0.0	0.0	0.0	efficient	sensitivity/none	history/history	False	False	False	True
false_trass	75	7500	history/history	3	153045.0	102246.66666666667	40.0	1.3333333333333333	2.0	0.0	0.0	99.9926268043181	19.63972145899849	True	-21028.333333333343	-21493.33333333333	-1.0	0.0	0.6666666666666667	efficient	history_rescue/history_rescue	history_rescue/history_rescue	True	False	False	False
false_trass	75	7500	history_rescue/history_rescue	3	140181.66666666666	65775.0	51.666666666666664	2.6666666666666665	4.666666666666667	0.0	0.0	99.99051954227404	9.98465974766926	True	-33891.666666666686	-57965.0	10.666666666666664	1.3333333333333333	3.333333333333334	efficient	history_rescue/history_rescue	history_rescue/history_rescue	True	False	False	False
false_trass	75	7500	sensitivity/none	3	174073.33333333334	123740.0	41.0	1.3333333333333333	1.3333333333333333	0.0	0.0	99.99247715073642	11.022390737334112	True	0.0	0.0	0.0	0.0	0.0	efficient	sensitivity/none	history_rescue/history_rescue	False	False	True	False
false_trass	75	10000	history/history	3	214958.66666666666	164160.33333333334	40.0	1.3333333333333333	2.0	0.0	0.0	99.9944523480596	24.648069779332825	True	-3028.666666666686	-3493.666666666657	-1.0	0.0	0.6666666666666667	efficient	history_rescue/history_rescue	history_rescue/history_rescue	True	False	False	False
false_trass	75	10000	history_rescue/history_rescue	3	164711.33333333334	88298.0	52.333333333333336	2.6666666666666665	5.333333333333333	0.0	0.0	99.99277408148033	11.506450157331225	True	-53276.0	-79356.0	11.333333333333336	1.3333333333333333	4.0	efficient	sensitivity/none	history_rescue/history_rescue	False	False	True	False
false_trass	75	10000	sensitivity/none	3	217987.33333333334	167654.0	41.0	1.3333333333333333	1.3333333333333333	0.0	0.0	99.99434974968771	13.90219984933598	True	0.0	0.0	0.0	0.0	0.0	efficient	sensitivity/none	history_rescue/history_rescue	False	False	True	False
false_trass	100	5000	history/history	3	175436.66666666666	43703.333333333336	70.33333333333333	9.0	8.0	0.0	0.0	99.98524812645796	25.967511288334208	True	17835.333333333314	-56897.99999999999	20.666666666666664	8.333333333333334	6.0	efficient	history_rescue/history_rescue	sensitivity/none	False	False	False	False
false_trass	100	5000	history_rescue/history_rescue	3	191537.66666666666	55786.0	80.33333333333333	8.333333333333334	6.666666666666667	0.0	0.0	99.98300404636815	26.013134212664834	True	33936.333333333314	-44815.33333333333	30.666666666666664	7.666666666666667	4.666666666666667	efficient	history_rescue/history_rescue	sensitivity/none	False	False	False	False
false_trass	100	5000	sensitivity/none	3	157601.33333333334	100601.33333333333	49.666666666666664	0.6666666666666666	2.0	0.0	0.0	99.98979130515143	15.81844709533228	True	0.0	0.0	0.0	0.0	0.0	efficient	sensitivity/none	sensitivity/none	True	False	False	False
false_trass	100	7500	history/history	3	203324.33333333334	68267.66666666667	71.66666666666667	9.0	9.0	0.0	0.0	99.99002705384042	26.163543860333448	True	-6500.0	-83556.66666666667	21.66666666666667	8.333333333333334	6.666666666666666	efficient	history_rescue/history_rescue	history/history	False	False	False	True
false_trass	100	7500	history_rescue/history_rescue	3	231092.33333333334	86654.0	84.66666666666667	8.666666666666666	8.0	0.0	0.0	99.9881146591318	30.71916996799943	True	21268.0	-65170.33333333334	34.66666666666667	7.999999999999999	5.666666666666666	efficient	history_rescue/history_rescue	history/history	False	False	False	True
false_trass	100	7500	sensitivity/none	3	209824.33333333334	151824.33333333334	50.0	0.6666666666666666	2.3333333333333335	0.0	0.0	99.99313761990068	19.21244538233441	True	0.0	0.0	0.0	0.0	0.0	efficient	sensitivity/none	history/history	False	False	False	True
